//FourStrong
gull,senpai,ethereal,komodo,3
gull,ethereal,fire,senpai,5
senpai,ethereal,gull,komodo,7
ethereal,gull,senpai,fire,9
stockfish,senpai,gull,komodo,3000
stockfish,gull,komodo,ethereal,6000
stockfish,gull,senpai,komodo,9000
stockfish,gull,komodo,ethereal,20000

//FourAverage
fire,cheng,greko,stockfish,3
ruy,cheng,greko,komodo,5
stockfish,greko,cheng,fire,7
stockfish,greko,cheng,komodo,9
ruy,protector,cheng,fire,3000
protector,cheng,senpai,fire,6000
ruy,cheng,protector,fire,9000
protector,cheng,fire,senpai,20000

//FourWeak
cinnamon,fruit,ruy,protector,3
protector,stockfish,fruit,cinnamon,5
protector,fruit,ruy,cinnamon,7
protector,fruit,cinnamon,ruy,9
ethereal,fruit,cinnamon,greko,3000
fruit,cinnamon,ruy,greko,6000
ethereal,fruit,cinnamon,greko,9000
cinnamon,fruit,greko,ruy,20000

//2 best depth 2 best timeout
gull,senpai,stockfish,komodo,3
senpai,fire,stockfish,komodo,5
senpai,ethereal,stockfish,komodo,7
gull,ethereal,stockfish,komodo,9
gull,ethereal,stockfish,komodo,3000
gull,ethereal,stockfish,komodo,6000
gull,ethereal,stockfish,komodo,9000
gull,ethereal,stockfish,komodo,20000

//BlackSheep
gull,senpai,ethereal,greko,3
senpai,fire,ethereal,cheng,5
senpai,ethereal,gull,greko,7
ethereal,gull,senpai,greko,9
stockfish,senpai,gull,protector,3000
stockfish,gull,komodo,cheng,6000
stockfish,gull,senpai,cheng,9000
stockfish,gull,komodo,cheng,20000


//WeaklingsWithLeader
protector,ruy,fruit,gull,3
protector,stockfish,fruit,senpai,5
protector,fruit,ruy,senpai,7
protector,fruit,cinnamon,ethereal,9
ethereal,fruit,cinnamon,stockfish,3000
fruit,cinnamon,ruy,stockfish,6000
ethereal,fruit,cinnamon,stockfish,9000
cinnamon,fruit,greko,stockfish,20000
